"","RecordingNum","Source","DateRecorded","Latitude","Longitude","Remarks","Era","Region"
"1",133125,"ML","2006-04-02",42.3743167,-76.6561,"NOTES: This is full of handling noise and has low-level rumble from a distant plane.  Still, it's a  fairly good, long cut of one trilled song type.
 
 ML: Subject changed from recordist's original identification of Junco hyemalis hyemalis to Junco hyemalis hyemalis/carolinensis to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015. Other Behaviors: Advertise. Habitat: Forest, Pond, Edge._","Pre","Drought"
"2",133140,"ML","2006-04-07",42.3743167,-76.6561,"ML: Subject changed from recordist's original identification of Junco hyemalis hyemalis to Junco hyemalis hyemalis/carolinensis to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015. Other Behaviors: Advertise. Habitat: Forest, Evergreen Forest, Deciduous Forest._","Pre","Drought"
"3",136510,"ML","2006-04-09",42.3743167,-76.6561,"NOTES: Recorded with Sound Devices 744T with 30"" Roche and Sennheiser MKH40.
 
 ML: Subject changed from recordist's original identification of Junco hyemalis hyemalis to Junco hyemalis hyemalis/carolinensis to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015. Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest._","Pre","Drought"
"4",139495,"ML","2015-05-19",42.4259195,-76.3357544,"Gives an introductory note before each trill, slightly reminiscent of an Eastern Towhee. Equipment Notes: Telinga Pro 6 filter was engaged for this recording._","Pre","Drought"
"7",163391,"ML","2012-05-20",42.322925,-76.334396,"Two-parted song consisting of two syllable types._","Pre","Drought"
"8",165249,"ML","2010-06-11",42.6240097,-73.1837514,"_","Pre","Control"
"9",167396,"ML","2012-04-14",42.3339137,-76.3400573,"_","Pre","Drought"
"10",169037,"ML","2012-06-09",44.50867,-74.43751,"_","Pre","Control"
"12",177623,"ML","2013-05-04",42.4259195,-76.3357544,"Slightly atypical two-part song._","Pre","Drought"
"13",177641,"ML","2013-06-02",42.6656022,-76.3560855,"Male singing somewhat atypical song, very monotonic and static, reminiscent of a Swamp Sparrow without the echo note._","Pre","Drought"
"14",177648,"ML","2013-07-18",42.43123,-76.37897,"Slightly atypical two-part song. LNS: 150Hz AUHipass filter applied in soundBlade._","Pre","Drought"
"15",177649,"ML","2013-07-18",42.43123,-76.37897,"Strange, atypical song with parula-like rising zeeep at the end. LNS: 150Hz AUHipass filter applied in soundBlade._","Pre","Drought"
"16",183179,"ML","2014-03-16",42.457717,-76.483553,"Call note can be heard between song phrases at the beginning of the recording._","Pre","Drought"
"17",186881,"ML","2015-04-23",42.3406241,-76.337074,"_","Pre","Drought"
"18",186886,"ML","2015-04-23",42.3385384,-76.3381684,"_","Pre","Drought"
"20",190910,"ML","2014-04-21",42.259721,-78.08965,"ML: 100 Hz AUHipass filter applied in soundBlade HD._","Pre","Drought"
"22",197983,"ML","2010-04-07",42.335834,-76.3290596,"_","Pre","Drought"
"23",199026,"ML","2010-04-29",42.3180029,-76.478405,"_","Pre","Drought"
"24",201153,"ML","2015-04-23",42.3338153,-76.3400674,"Singing male. Apparently a different individual from ML 201154. Other Behaviors: Perch._","Pre","Drought"
"25",201154,"ML","2015-04-23",42.3338153,-76.3400674,"Singing male. Apparently a different individual from ML 201153. Other Behaviors: Perch._","Pre","Drought"
"26",204590,"ML","2015-07-17",42.4370524,-76.3054503,"Equipment Notes: Telinga HiPass filter was enabled for this recording._","Pre","Drought"
"27",210605,"ML","2013-05-27",42.32329,-76.34016,"_","Pre","Drought"
"28",210612,"ML","2013-05-27",42.33405,-76.34016,"Same individual as ML 210605._","Pre","Drought"
"29",213700,"ML","2008-07-15",42.3238414,-76.3361835,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"30",216714,"ML","2009-02-17",42.426647,-76.337689,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"32",216740,"ML","2009-03-14",42.771084,-75.788776,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"33",216748,"ML","2009-03-15",42.371952,-76.655794,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"34",216750,"ML","2009-03-16",42.437166,-76.305802,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"35",216752,"ML","2009-03-16",42.437166,-76.305802,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"36",216753,"ML","2009-03-16",42.437166,-76.305802,"Equipment Notes: Recorded with a Telinga Pro, model unknown._","Pre","Drought"
"37",220783,"ML","2009-05-11",42.484284,-76.7923455,"_","Pre","Drought"
"38",220784,"ML","2009-05-11",42.484284,-76.7923455,"_","Pre","Drought"
"39",233299,"ML","2018-03-29",42.7164979,-76.7076588,"Atypical three-part song._","Post","Drought"
