"RecordingNum","Source","Recordist","Date.Collected","Latitude","Longitude","Behaviors","Remarks","Era","Region"
"100505941","ML","valerie heemstra","2018-05-15",41.1098093,-73.8352114,"Song","The bird flew before I got a chance to photograph it._This bird (not sure if it was male or female) was singing a different call from the usual.  It was perched on a low tree branch, about 6 feet up, singing at the intersection of the west arm of Ash Tree Loop and Farm Meadow Trail, very near a gurgling brook.  I did not see any other song sparrow near it.  I suspect it might be a female with a nest nearby.","Post","Control"
"100557361","ML","Jay McGowan","2018-05-15",42.4804057,-76.4532351,"Song","_","Post","Drought"
"101973231","ML","Jay McGowan","2018-05-17",42.4712343,-76.4592433,"Song","_","Post","Drought"
"102783271","ML","Jay McGowan","2018-03-26",42.5046294,-76.4657396,"Song","_","Post","Drought"
"102861191","ML","John Beetham","2018-06-01",40.4918747,-74.4348004,"Song","Countersinging_","Post","Control"
"102893841","ML","Jay McGowan","2018-06-01",42.4618954,-76.5190244,"Call; Song","_","Post","Drought"
"104199151","ML","Orlando Jarquín","2018-06-12",42.2863742,-76.656052,"Song","Cantando en lo alto de un árbol. Área abierta, pastizal. Había un poco de viento._","Post","Drought"
"104329761","ML","Marky Mutchler","2018-06-13",42.3233842,-76.3357598,"Song","Flew into low bushes and proceeded to perch near the top. Sang only a few times and proceeded to preen and then fly off._","Post","Drought"
"104523691","ML","Marky Mutchler","2018-06-15",43.07931,-76.67442,"Song","Song Sparrow singing in close proximity atop a short deciduous tree. Habitat an open field with relatively tall grass and mixed saplings._","Post","Drought"
"104523711","ML","Marky Mutchler","2018-06-15",43.07931,-76.67442,"Song","Bird singing at edge of a cut field in a small stand of cattails. Occasionally giving slow flights into surrounding trees._","Post","Drought"
"104595011","ML","Saurabh Sawant","2018-06-15",43.07931,-76.67442,"Song","_","Post","Drought"
"104595251","ML","Saurabh Sawant","2018-06-15",43.07931,-76.67442,"Song","_","Post","Drought"
"104606841","ML","Marky Mutchler","2018-06-16",42.470331,-76.795456,"Song","Single bird singing from post along barbed wire fence. Only gave a few song phrases before flying off several yards down the fence row._Estimate","Post","Drought"
